,cycle_id,sleep_id,cycles_count,disturbance_count,time_lower_bound,time_upper_bound,in_bed_duration,is_nap,latency_duration,light_sleep_duration,no_data_duration,quality_duration,rem_sleep_duration,respiratory_rate,sleep_score,sleep_consistency,sleep_efficiency,sws_duration,wake_duration
0,47853520,111605517,4,7,2020-09-05T06:55:56.347+00:00,2020-09-05T16:17:33.866+00:00,33697519,False,151886,18529931,0,29976486,4445975,16.9336,100,,0.893603,7000580,3757714
1,48048457,112021285,3,7,2020-09-06T07:21:58.462+00:00,2020-09-06T13:28:11.932+00:00,21973470,False,179763,8110389,0,20045836,6500002,17.1094,72,,0.919799,5435445,1953960
2,48406519,112779489,3,8,2020-09-08T04:43:20.526+00:00,2020-09-08T12:23:58.957+00:00,27638431,False,157654,13518901,0,25737385,7084291,16.6113,82,,0.93656,5134193,1930851
3,48601077,113193936,3,4,2020-09-09T06:25:24.027+00:00,2020-09-09T12:20:29.392+00:00,21305365,False,95169,8981503,0,19313401,4414186,17.0508,61,74,0.910572,5917712,2018440
4,48760188,113543562,3,8,2020-09-10T04:42:11.313+00:00,2020-09-10T12:10:02.623+00:00,26871310,False,197067,16372854,0,24989555,5314211,16.875,72,81,0.936842,3302490,1909661
5,48947451,113932840,2,9,2020-09-11T04:41:24.21+00:00,2020-09-11T12:09:50.129+00:00,26905919,False,124970,15577769,0,25310053,5136141,17.4023,76,91,0.945077,4596143,1626690
6,49177923,114406434,4,6,2020-09-12T06:58:32.007+00:00,2020-09-12T14:48:17.421+00:00,28185414,False,177841,17974520,0,26714415,3422805,17.5195,83,53,0.953828,5317090,1498683
7,49370287,114814666,3,6,2020-09-13T07:21:47.944+00:00,2020-09-13T14:17:29.921+00:00,24941977,False,130737,14478547,0,23668919,2672987,17.666,76,66,0.95396,6517385,1303267
8,49500467,115080153,3,5,2020-09-14T03:12:55.074+00:00,2020-09-14T11:54:29.339+00:00,31294265,False,93246,16636574,0,30361495,7539612,16.4062,98,48,0.973093,6185309,965409
9,49691654,115490778,2,8,2020-09-15T06:37:19.379+00:00,2020-09-15T11:47:29.249+00:00,18609870,False,129776,8979529,0,16608667,3513289,17.0508,55,64,0.898733,4115849,2023250
10,49934296,115998195,3,4,2020-09-16T08:49:22.439+00:00,2020-09-16T12:15:59.406+00:00,12396967,False,155732,3186012,0,9792876,3392927,17.4609,26,57,0.799991,3213937,2620035
11,50090549,116342324,2,10,2020-09-17T05:31:41.885+00:00,2020-09-17T12:12:06.776+00:00,24024891,False,136505,13224295,0,22023869,4684698,16.6992,58,69,0.921949,4114876,2029014
12,50275822,116731266,3,4,2020-09-18T05:27:07.912+00:00,2020-09-18T12:03:12.287+00:00,23764375,False,170150,11936473,0,21430003,4325670,17.2266,60,81,0.908273,5167860,2363016
13,50478447,117144544,5,9,2020-09-19T08:04:21.276+00:00,2020-09-19T15:59:59.487+00:00,28538211,False,156692,11056730,0,25475545,9372278,17.8125,76,41,0.89761,5046537,3098430
14,50635699,117494538,2,10,2020-09-20T05:54:04.879+00:00,2020-09-20T15:02:19.716+00:00,32894837,False,173035,19906302,0,29966766,3333247,16.6113,94,64,0.915804,6727217,2965567
15,50879478,117964108,4,10,2020-09-21T07:31:24.804+00:00,2020-09-21T13:55:29.165+00:00,23044361,False,63446,10272241,0,19283574,3663445,16.5234,66,67,0.839113,5347888,3788560
16,51052075,118341268,3,6,2020-09-22T04:41:16.73+00:00,2020-09-22T12:11:59.152+00:00,27042422,False,101898,15590256,0,25530432,5344042,17.4023,79,49,0.947659,4596134,1541985
17,51255681,118779603,6,10,2020-09-23T04:49:24.155+00:00,2020-09-23T12:52:59.272+00:00,29015117,False,184570,14176299,0,26397717,6938015,16.875,84,69,0.915616,5283403,2648982
18,51439398,119175452,1,4,2020-09-24T06:49:48.455+00:00,2020-09-24T12:35:16.074+00:00,20727619,False,161499,11458090,0,18486578,2852977,17.1094,57,72,0.898885,4175511,2265810
19,51620294,119559769,2,9,2020-09-25T04:07:16.037+00:00,2020-09-25T11:58:59.685+00:00,28303648,False,72098,17030249,0,27030121,3813597,15.7617,81,71,0.957444,6186275,1306153
20,51864339,120060095,3,4,2020-09-26T08:29:37.362+00:00,2020-09-26T15:23:54.74+00:00,24857378,False,171112,9882432,0,23151064,7622350,16.6406,75,39,0.937811,5646282,1735435
21,52073448,120534515,6,7,2020-09-27T06:00:27.594+00:00,2020-09-27T18:33:38.455+00:00,45190861,False,181686,26772171,0,40556756,5677080,17.0215,100,36,0.901078,8107505,4685666
22,52250156,120845924,0,2,2020-09-28T03:15:00+00:00,2020-09-28T12:00:00+00:00,9425578,False,179764,7001531,22073203,8894852,0,19.0723,32,27,0.962041,1893321,541912
23,52398326,121169028,5,7,2020-09-29T06:52:05.417+00:00,2020-09-29T14:52:29.133+00:00,28823716,False,173996,14026141,0,24055843,4503741,17.3145,82,42,0.839654,5525961,4803056
24,52622412,121634335,2,9,2020-09-30T06:43:45.535+00:00,2020-09-30T13:19:52.795+00:00,23767260,False,102860,13568952,0,21977731,3874237,16.1719,72,54,0.928725,4534542,1812458
25,52813986,122038753,3,10,2020-10-01T06:00:05.016+00:00,2020-10-01T13:10:59.265+00:00,25854249,False,113434,14714359,0,23638102,4176469,16.582,75,58,0.918312,4747274,2246545
26,53001362,122430578,3,6,2020-10-02T08:39:39.585+00:00,2020-10-02T14:24:11.448+00:00,20671863,False,199952,5556717,0,18722376,8150803,17.1094,57,58,0.91454,5014856,1974150
27,53232806,122908813,2,10,2020-10-03T07:42:12.5+00:00,2020-10-03T15:40:59.121+00:00,28726621,False,0,18996674,0,26537238,3304410,16.1719,79,67,0.923786,4236154,2221547
28,53387540,123227021,6,18,2020-10-04T05:13:34.477+00:00,2020-10-04T22:31:59.304+00:00,62304827,False,0,30328716,0,44445365,5705963,17.6367,100,18,0.713353,8410686,17930109
29,53496877,123487266,5,9,2020-10-05T02:58:03.662+00:00,2020-10-05T14:06:15.772+00:00,40092110,False,146119,17072609,0,38130177,13156053,16.4355,100,13,0.954543,7901515,2009758
