,cycle_id,workout_id,duration,distance,altitudeGain,altitudeChange,average_hr,cumulative_strain,time_upper_bound,time_lower_bound,kilojoules,strain_score,sport_id,source,time_hr_zone_0,time_hr_zone_1,time_hr_zone_2,time_hr_zone_3,time_hr_zone_4,time_hr_zone_5
0,48601077,113314011,0 days 00:00:48.129233,,,,151,13.5023,2020-09-09T21:34:42.789+00:00,2020-09-09T20:46:35.035+00:00,2654.97,13.5023119620075,0,auto,0,30800,381638,516218,1949524,9613
1,48760188,113722931,0 days 00:00:52.599300,,,,134,12.9681,2020-09-10T22:29:38.135+00:00,2020-09-10T21:37:02.177+00:00,2299.27,12.9681109352467,0,auto,567169,69213,781578,357604,1380432,0
2,49500467,115270996,0 days 00:00:42.617717,,,,157,13.7162,2020-09-14T21:38:15.379+00:00,2020-09-14T20:55:38.316+00:00,2572.98,13.7162176158726,0,auto,21184,9613,115355,251862,2159087,0
3,49691654,115702580,0 days 00:00:48.786117,,,,150,13.9661,2020-09-15T22:22:24.726+00:00,2020-09-15T21:33:37.559+00:00,2641.44,13.9661040180139,0,auto,16343,319191,340300,165346,2042767,43259
4,50090549,116525645,0 days 00:00:41.448167,,,,159,14.1102,2020-09-17T22:47:32.054+00:00,2020-09-17T22:06:05.164+00:00,2599.39,14.1101730642018,0,auto,20226,9613,92285,316269,2037000,11536
5,51255681,118925742,0 days 00:00:45.492500,,,,146,12.6571,2020-09-23T22:08:26.773+00:00,2020-09-23T21:22:57.223+00:00,2241.16,12.6571305589512,0,user,0,81712,595045,519144,1519818,14420
6,52250156,120868270,0 days 00:00:42.516100,,,,150,12.6398,2020-09-28T17:42:03.212+00:00,2020-09-28T16:59:32.246+00:00,2208.15,12.6397891095861,0,user,0,0,397980,793075,1074775,284546
7,52622412,121749087,0 days 00:01:09,172.004559640592,7.95713,0.547443,107,7.3761,2020-09-30T21:17:00+00:00,2020-09-30T20:08:00+00:00,1364.18,7.37610044835013,48,user,1347785,960341,1167023,593123,72098,0
8,52813986,122191257,0 days 00:00:31,6261.73720125878,109.003,-12.1,167,13.7732,2020-10-01T23:11:00+00:00,2020-10-01T22:40:00+00:00,2139.78,13.773234028665,0,user,0,0,10575,112471,1254541,481611
9,53001362,122543158,0 days 00:00:37,264.233781165077,16.0484,-4.19093,110,5.6208,2020-10-02T18:55:00+00:00,2020-10-02T18:18:00+00:00,693.708,5.62082084116947,48,user,392212,897857,702750,226867,0,0
